profile,kp,ki,bias,integral_limit,max_temperature_C,mean_abs_temp_error_C,rms_temp_error_C,time_above_safe_s,total_cooling_effort,mean_cooling_action,action_variation,total_reward,failed
Constant,0.06,0.0005,0.05,40.0,40.65821416704623,4.502352124544118,4.9869332456484115,0.0,394.3690964244306,0.219093942458017,0.4212076961994171,-451.88452905334674,False
Step,0.06,0.0005,0.05,40.0,43.31305546409675,6.3452520634412615,6.812997989674258,0.0,506.00989415613003,0.2811166078645167,0.5821459889411926,-843.1486485897905,False
Pulsed,0.06,0.0005,0.05,40.0,40.74051135223173,4.247076767405499,4.7289525598284134,0.0,370.7441370320739,0.20596896501781883,0.8141676783561707,-406.3240242164897,False
Random,0.06,0.0005,0.05,40.0,40.254551195597955,4.32685107789662,4.839343176921692,0.0,356.4960959057207,0.19805338661428928,0.4030561149120331,-425.14401303030695,False
Constant,0.06,0.0005,0.05,75.0,40.50010165161376,4.436484289364003,4.914240876765604,0.0,403.7171568739286,0.22428730937440478,0.43050417304039,-439.14961458135434,False
Step,0.06,0.0005,0.05,75.0,43.15331038522143,6.281943852529441,6.7381295401013235,0.0,514.9424464360927,0.2860791369089404,0.5911250710487366,-825.1707767170277,False
Pulsed,0.06,0.0005,0.05,75.0,40.57559744308819,4.185087351246746,4.66047024928336,0.0,379.8959220452234,0.21105329002512413,0.8348057866096497,-394.963039759437,False
Random,0.06,0.0005,0.05,75.0,40.107298825626714,4.2677986864898365,4.776178620581322,0.0,365.62210689339554,0.20312339271855306,0.412545382976532,-414.4170471439546,False
Constant,0.06,0.0005,0.05,100.0,40.39185097212019,4.393177584626151,4.866115166088926,0.0,410.261993103486,0.22792332950193667,0.43757277727127075,-430.8409630616824,False
Step,0.06,0.0005,0.05,100.0,43.04358102486002,6.239470848691327,6.6874830207663525,0.0,521.1669262226496,0.2895371812348054,0.5978658199310303,-813.14027104061,False
Pulsed,0.06,0.0005,0.05,100.0,40.46043117815364,4.143442558751248,4.614558517982486,0.0,386.410843570422,0.21467269087245666,0.8509252667427063,-387.45422315842274,False
Random,0.06,0.0005,0.05,100.0,40.006494878483736,4.229249537315066,4.734730646829778,0.0,371.99468336909194,0.20666371298282885,0.4198046326637268,-407.4739127029715,False
Constant,0.06,0.0005,0.05,150.0,40.18624566113323,4.3136650661255915,4.777951509807276,0.0,423.1013017972582,0.23505627877625457,0.4527755379676819,-415.87711360708886,False
Step,0.06,0.0005,0.05,150.0,42.831350459416925,6.159848155159901,6.592237423162607,0.0,533.3227816652361,0.2962904342584645,0.6120288372039795,-790.8031936229728,False
Pulsed,0.06,0.0005,0.05,150.0,40.273439547459944,4.066038624369612,4.530380568171138,0.0,399.25276462503825,0.2218070914583546,0.8822003602981567,-373.9188044861454,False
Random,0.06,0.0005,0.05,150.0,39.81453322278307,4.158987588257987,4.659610789920518,0.0,384.44100988909486,0.21357833882727492,0.4356379210948944,-395.08866352517174,False
Constant,0.06,0.0005,0.1,40.0,40.15711689348503,4.2260571297186615,4.725608244463509,0.0,427.3073979075998,0.23739299883755544,0.4433271884918213,-406.76469103806113,False
Step,0.06,0.0005,0.1,40.0,42.828294980771126,6.104565213194635,6.558953526551954,0.0,536.8980754921213,0.29827670860673405,0.6050738096237183,-782.7567917965653,False
Pulsed,0.06,0.0005,0.1,40.0,40.22222958209004,3.973823158347287,4.471798456150224,0.0,403.8456228877185,0.22435867938206583,0.8522630333900452,-364.2652434478858,False
Random,0.06,0.0005,0.1,40.0,39.764334582322086,4.064766656603702,4.603632606732802,0.0,388.7649359089846,0.2159805199494359,0.424996554851532,-385.60019061263205,False
Constant,0.06,0.0005,0.1,75.0,40.00917226070008,4.167203173516884,4.661465485792388,0.0,436.3709319662303,0.2424282955367946,0.4535134732723236,-396.17054314445545,False
Step,0.06,0.0005,0.1,75.0,42.677063073774946,6.045687303917929,6.489653177362829,0.0,545.6811662041437,0.3031562034467465,0.6146873831748962,-766.7875119220066,False
Pulsed,0.06,0.0005,0.1,75.0,40.0788597536886,3.9171857733325157,4.411732567817018,0.0,412.7854490974569,0.22932524949858715,0.8740010559558868,-354.89414770533074,False
Random,0.06,0.0005,0.1,75.0,39.62655462866913,4.013140467047362,4.549318214307276,0.0,397.57724275637884,0.22087624597576602,0.43555697798728943,-376.88047281054975,False
Constant,0.06,0.0005,0.1,100.0,39.908431686303935,4.128988868466436,4.619330004541047,0.0,442.7220813377935,0.2459567118543297,0.4612500071525574,-389.31183515244,False
Step,0.06,0.0005,0.1,100.0,42.572452570703284,6.006410081997561,6.442935463367552,0.0,551.7986295857554,0.30655479421430853,0.6218716502189636,-756.1374103661566,False
Pulsed,0.06,0.0005,0.1,100.0,39.98919298646196,3.8813850639391205,4.372896464403553,0.0,418.9925689365773,0.2327736494092096,0.8878757357597351,-348.92696532324976,False
Random,0.06,0.0005,0.1,100.0,39.532433071615955,3.979972174246301,4.51401693996906,0.0,403.73441577861377,0.22429689765478542,0.4436603784561157,-371.2903570173512,False
Constant,0.06,0.0005,0.1,150.0,39.717379608474204,4.059648732025865,4.542782463483197,0.0,455.209937989217,0.2528944099940094,0.4777296781539917,-377.0611235885898,False
Step,0.06,0.0005,0.1,150.0,42.37132856426273,5.9331705084613295,6.355399419377187,0.0,563.7479033803538,0.3131932796557521,0.6370132565498352,-736.4336244843162,False
Pulsed,0.06,0.0005,0.1,150.0,39.8210375276199,3.8188879292496565,4.30403188706096,0.0,431.022933185639,0.23945718510313277,0.9220214784145355,-338.5344099349032,False
Random,0.06,0.0005,0.1,150.0,39.35311429872759,3.9203885986597005,4.450668538028182,0.0,415.7874690091121,0.2309930383383956,0.46112626791000366,-361.4176566480204,False
Constant,0.06,0.0005,0.15,40.0,39.66847918506266,3.951419259236214,4.479575955663593,0.0,462.16411249368684,0.25675784027427045,0.4663308262825012,-366.6243068270828,False
Step,0.06,0.0005,0.15,40.0,42.35568788453926,5.864462503236207,6.313445804973988,0.0,569.116581667261,0.3161758787040339,0.6288067102432251,-726.6874038937076,False
Pulsed,0.06,0.0005,0.15,40.0,39.73606117630471,3.7067494855521383,4.232906448216981,0.0,438.3981733637047,0.24355454075761374,0.8916175365447998,-327.4302550274769,False
Random,0.06,0.0005,0.15,40.0,39.28256444382695,3.8040087447796114,4.383988098658311,0.0,422.88240478219814,0.2349346693234434,0.44789743423461914,-350.64297756171476,False
Constant,0.06,0.0005,0.15,75.0,39.53087203422432,3.8988576991301667,4.42381431820436,0.0,470.8071986322757,0.2615595547957087,0.4774112105369568,-357.9526087859403,False
Step,0.06,0.0005,0.15,75.0,42.21205976857406,5.809634157603423,6.2496116838061715,0.0,577.6964629794238,0.32094247943301324,0.6390612125396729,-712.5821768879998,False
Pulsed,0.06,0.0005,0.15,75.0,39.612044935146734,3.6552687098318337,4.180731483254436,0.0,447.1044402898988,0.24839135571661042,0.9081954956054688,-319.77977463215876,False
Random,0.06,0.0005,0.15,75.0,39.15457603965599,3.758845486627665,4.338106108433871,0.0,431.24577920575393,0.23958098844764109,0.4596171975135803,-343.6883798365407,False
Constant,0.06,0.0005,0.15,100.0,39.43758844142917,3.8651899493472506,4.387542375139903,0.0,476.8680431686953,0.26492669064927515,0.48579204082489014,-352.39454980285046,False
Step,0.06,0.0005,0.15,100.0,42.112814554220535,5.773280925892292,6.206751956689886,0.0,583.6687277591554,0.3242604043106419,0.6467156410217285,-703.2129908104789,False
Pulsed,0.06,0.0005,0.15,100.0,39.5292990249032,3.6234696234243873,4.147792928187971,0.0,453.0896689108922,0.25171648272827346,0.9222778975963593,-315.0274388646716,False
Random,0.06,0.0005,0.15,100.0,39.06732107715883,3.730337393324443,4.308663138530798,0.0,437.08963386452524,0.24282757436918068,0.46852490305900574,-339.2887466473437,False
Constant,0.06,0.0005,0.15,150.0,39.262716632937284,3.805006654414515,4.322377800324467,0.0,488.8120921084774,0.27156227339359856,0.503672331571579,-342.58062415555014,False
Step,0.06,0.0005,0.15,150.0,41.92278460891059,5.705945008037946,6.126807856147879,0.0,595.333930395449,0.3307410724419161,0.6628546714782715,-685.9571287210516,False
Pulsed,0.06,0.0005,0.15,150.0,39.37460953583539,3.5681863636014453,4.090162338102654,0.0,464.6954048635671,0.25816411381309284,0.9598234593868256,-306.86718322015963,False
Random,0.06,0.0005,0.15,150.0,38.901343645029186,3.680147782794279,4.256604018722555,0.0,448.5438750914327,0.24919104171746262,0.4876057505607605,-331.63992420254215,False
Constant,0.06,0.0005,0.2,40.0,39.192968854903796,3.6833773642005077,4.253037369242322,0.0,499.1229224842391,0.2772905124912439,0.4902327060699463,-331.7075768657241,False
Step,0.06,0.0005,0.2,40.0,41.89485459807062,5.6269793556042185,6.078099189595142,0.0,602.7396200328949,0.33485534446271936,0.6533644199371338,-675.0745651152421,False
Pulsed,0.06,0.0005,0.2,40.0,39.26928707959923,3.4460960205932114,4.014196249315487,0.0,475.51231189176906,0.2641735066065384,0.9246099889278412,-295.62038549219693,False
Random,0.06,0.0005,0.2,40.0,38.81144669310247,3.5502364467495533,4.184923799625547,0.0,459.03043915802846,0.25501691064334914,0.4718558192253113,-320.57811458685774,False
Constant,0.06,0.0005,0.2,75.0,39.06655528014473,3.636549860348682,4.205388663779874,0.0,507.1857642279647,0.2817698690155359,0.5022544264793396,-324.734868053197,False
Step,0.06,0.0005,0.2,75.0,41.75846100125245,5.575843378253406,6.019585045194107,0.0,611.0558018548763,0.3394754454749313,0.6642641425132751,-662.6830966520081,False
Pulsed,0.06,0.0005,0.2,75.0,39.1574213061161,3.401106187723354,3.9709451606514676,0.0,483.1592490420153,0.26842180502334184,0.9393088817596436,-289.67598852260153,False
Random,0.06,0.0005,0.2,75.0,38.69391894528379,3.5108748199736572,4.147011894186434,0.0,466.7566399296047,0.259309244405336,0.4847203493118286,-315.1568927665622,False
Constant,0.06,0.0005,0.2,100.0,38.98168907681193,3.6069848226845806,4.174759578498013,0.0,512.8424279547762,0.2849124599748757,0.5113484859466553,-320.32153343967815,False
Step,0.06,0.0005,0.2,100.0,41.6648401055577,5.542149339760024,5.980478329962333,0.0,616.8395041119074,0.34268861339550416,0.6724062561988831,-654.4907824613697,False
Pulsed,0.06,0.0005,0.2,100.0,39.08286475552542,3.3737647475786394,3.9440445953582426,0.0,488.5749228953646,0.27143051271964697,0.9581314325332642,-286.04183240746096,False
Random,0.06,0.0005,0.2,100.0,38.614071684804664,3.4865001463145524,4.123060030786391,0.0,472.1514948635013,0.2623063860352785,0.49446725845336914,-311.78532086426833,False
Constant,0.06,0.0005,0.2,150.0,38.82359859646923,3.5549334522674783,4.120480328848883,0.0,524.0165845674928,0.2911203247597182,0.5307855308055878,-312.6432804320365,False
Step,0.06,0.0005,0.2,150.0,41.485162393933884,5.4801670519254175,5.907916418460757,0.0,628.134121467243,0.348963400815135,0.68943190574646,-639.4829030800178,False
Pulsed,0.06,0.0005,0.2,150.0,38.94166672347685,3.3256336234580806,3.896743420755118,0.0,499.58028845873196,0.27754460469929554,0.9917982220649719,-279.7712122944636,False
Random,0.06,0.0005,0.2,150.0,38.47785228102856,3.444423881099491,4.081443381883281,0.0,482.75496640424535,0.2681972035579141,0.5151928961277008,-306.0385115640524,False
Constant,0.06,0.0005,0.25,40.0,38.73222900475889,3.4263296423689007,4.049882216735465,0.0,538.3641294474946,0.29909118302638593,0.5151182115077972,-302.11280999079617,False
Step,0.06,0.0005,0.25,40.0,41.44563348339286,5.394025450274891,5.854524164542953,0.0,637.8480437647158,0.35436002431373104,0.6787570118904114,-628.0049792623653,False
Pulsed,0.06,0.0005,0.25,40.0,38.81412475555263,3.1961968231653017,3.8210349484515733,0.0,515.3236797107384,0.28629093317263243,0.9480794966220856,-269.107665468981,False
Random,0.06,0.0005,0.25,40.0,38.352882929902734,3.308869670284433,4.01043493102133,0.0,497.4163201359115,0.2763424000755064,0.49684810638427734,-295.54742268210947,False
Constant,0.06,0.0005,0.25,75.0,38.6181612398136,3.384861971675208,4.009994061072419,0.0,545.6610912879623,0.30314505071553466,0.5282046794891357,-296.6200299020616,False
Step,0.06,0.0005,0.25,75.0,41.316608140855905,5.346239738551845,5.801143951984248,0.0,645.8319178915044,0.3587955099397247,0.6902883052825928,-617.1745538492686,False
Pulsed,0.06,0.0005,0.25,75.0,38.71485871060601,3.1580954109530905,3.785991096793852,0.0,522.2168341218494,0.29012046340102743,0.9734225571155548,-264.58925311853636,False
Random,0.06,0.0005,0.25,75.0,38.24701977668762,3.274679680355576,3.9799152389324597,0.0,504.2508800138894,0.28013937778549414,0.5109700858592987,-291.43256092193525,False
Constant,0.06,0.0005,0.25,100.0,38.54226307703831,3.359050026745605,3.984697729111316,0.0,550.7795119938673,0.30598861777437075,0.5381248891353607,-293.195032953662,False
Step,0.06,0.0005,0.25,100.0,41.22796807012228,5.31495300595546,5.765654100169773,0.0,651.378046841739,0.361876692689855,0.6988485455513,-610.0528688676818,False
Pulsed,0.06,0.0005,0.25,100.0,38.648404531305935,3.1343848494700013,3.764080760523127,0.0,526.9990051185014,0.2927772250658341,0.9919268488883972,-261.8173747124885,False
Random,0.06,0.0005,0.25,100.0,38.182861572043734,3.2539055841617524,3.960961906771471,0.0,509.0285141604254,0.28279361897801414,0.5216448605060577,-288.92412919210346,False
Constant,0.06,0.0005,0.25,150.0,38.40260432608549,3.3142778579154086,3.940586116428066,0.0,560.9185186473187,0.3116213992485104,0.5592390298843384,-287.34551525893716,False
Step,0.06,0.0005,0.25,150.0,41.05965232856434,5.257798619262017,5.7001917286500285,0.0,662.204940394382,0.3678916335524344,0.7168401479721069,-597.0866045586502,False
Pulsed,0.06,0.0005,0.25,150.0,38.52320961291362,3.0928057795057744,3.7262992580881824,0.0,536.411141466815,0.2980061897037861,1.007355809211731,-257.15003841825137,False
Random,0.06,0.0005,0.25,150.0,38.07103957019564,3.218744653359444,3.9287025103179682,0.0,518.4699232615967,0.2880388462564426,0.5441679954528809,-284.75535621596845,False
Constant,0.06,0.001,0.05,40.0,40.468363361593646,4.413233756892479,4.89411499194327,0.0,405.86661716591334,0.22548145398106298,0.43102139234542847,-435.6206319750378,False
Step,0.06,0.001,0.05,40.0,43.12484744786094,6.263509055856228,6.7203218645614395,0.0,516.9732895299676,0.2872073830722042,0.5918964147567749,-820.8907722916332,False
Pulsed,0.06,0.001,0.05,40.0,40.545458377832915,4.164418682555449,4.6422270005507915,0.0,381.84458563043154,0.2121358809057953,0.8356055021286011,-391.9346224648671,False
Random,0.06,0.001,0.05,40.0,40.074096240116525,4.245012644586292,4.757302695468985,0.0,367.75276048242813,0.20430708915690451,0.41298285126686096,-411.20028430250244,False
Constant,0.06,0.001,0.05,75.0,40.1570816607189,4.2769917137333895,4.750361551467063,0.0,425.24744931567693,0.23624858295315385,0.4500792622566223,-411.12906040491913,False
Step,0.06,0.001,0.05,75.0,42.81298114030515,6.134862744111194,6.572044269339861,0.0,535.3376304588746,0.2974097946993748,0.6103458404541016,-786.0053574711576,False
Pulsed,0.06,0.001,0.05,75.0,40.2358665796426,4.029838213774155,4.502853355057886,0.0,401.31550222836086,0.2229530567935338,0.8791772127151489,-369.43141747039704,False
Random,0.06,0.001,0.05,75.0,39.77930328220243,4.121573273522824,4.632267527503686,0.0,386.67749982571695,0.2148208332365094,0.432522714138031,-390.5011177384861,False
Constant,0.06,0.001,0.05,100.0,39.94591542655773,4.186420824617474,4.656405722399539,0.0,438.9673509587301,0.24387075053262783,0.4647417366504669,-395.57332324562776,False
Step,0.06,0.001,0.05,100.0,42.59888405206218,6.048064925069213,6.472535125440966,0.0,548.2737112659961,0.30459650625888673,0.6243093609809875,-763.0838744411395,False
Pulsed,0.06,0.001,0.05,100.0,40.03925727790751,3.9404653828329828,4.412125420760814,0.0,415.1154514506925,0.23061969525038473,0.90664142370224,-355.20534524726696,False
Random,0.06,0.001,0.05,100.0,39.57807824214347,4.039912273896724,4.551430411438997,0.0,400.03044138720725,0.22223913410400403,0.44783133268356323,-377.4681925370558,False
Constant,0.06,0.001,0.05,150.0,39.55282584381095,4.019535033401317,4.488260799392477,0.0,466.12921117502265,0.25896067287501257,0.4967736303806305,-368.65287494268256,False
Step,0.06,0.001,0.05,150.0,42.19182253065927,5.885048921272446,6.287892947830644,0.0,573.7950370739936,0.31877502059666313,0.6542826890945435,-721.6089716915199,False
Pulsed,0.06,0.001,0.05,150.0,39.672331283225844,3.780294236026057,4.253708291528495,0.0,442.09059592714766,0.24560588662619315,0.9626178443431854,-331.21353752988256,False
Random,0.06,0.001,0.05,150.0,39.203220604755685,3.8902334049533773,4.408721794457369,0.0,426.3450432756217,0.2368583573753454,0.48148804903030396,-355.1593469071973,False
Constant,0.06,0.001,0.1,40.0,39.9777778168315,4.144455692597217,4.642568497303124,0.0,438.55283153476194,0.24364046196375663,0.45403480529785156,-393.03729438075226,False
Step,0.06,0.001,0.1,40.0,42.649205810454006,6.027761631879184,6.4726772158320856,0.0,547.7333064239356,0.3042962813466309,0.615493655204773,-762.8673046505693,False
Pulsed,0.06,0.001,0.1,40.0,40.04811802659685,3.8968884403128166,4.394760374175024,0.0,414.7589895666024,0.23042166087033467,0.8799738585948944,-352.236635846082,False
Random,0.06,0.001,0.1,40.0,39.593919125990325,3.9909145959487775,4.531810590720341,0.0,399.7468993245275,0.2220816107358486,0.435989111661911,-374.04845837418395,False
Constant,0.06,0.001,0.1,75.0,39.68536131223092,4.021716007803596,4.515336775482954,0.0,457.5550449001312,0.2541972471667395,0.4747161269187927,-372.5802046238014,False
Step,0.06,0.001,0.1,75.0,42.35160868162737,5.907844842952249,6.335311556102595,0.0,565.8787580968783,0.31437708783159907,0.6351557970046997,-731.8408007309101,False
Pulsed,0.06,0.001,0.1,75.0,39.78080846786127,3.7807698195381594,4.276243205968712,0.0,433.34993321874936,0.2407499628993052,0.9225718080997467,-334.24065661067056,False
Random,0.06,0.001,0.1,75.0,39.31608364729115,3.881697970193254,4.423719640092572,0.0,418.251789083879,0.23236210504659943,0.4576070010662079,-357.10929502675447,False
Constant,0.06,0.001,0.1,100.0,39.48764030080386,3.9399378994449927,4.432463037236755,0.0,471.11280035888194,0.2617293335327122,0.49050477147102356,-359.62217586626275,False
Step,0.06,0.001,0.1,100.0,42.147670157384304,5.826879302367878,6.243245842771502,0.0,578.7040349350864,0.32150224163060354,0.6500216722488403,-711.4746500867923,False
